0, 16, 0.00172, 0.00065, -0.00680, -0.00315, -0.00237, -0.00622
16, 22, -0.00080, -0.00192, -0.00204, -0.00274, -0.00494, -0.00572
22, 28, -0.00141, -0.00111, -0.00132, -0.00223, -0.00395, -0.00378
28, 34, -0.00088, -0.00103, -0.00005, -0.00128, -0.00187, -0.00230
34, 40, -0.00042, 0.00026, 0.00019, -0.00015, -0.00101, -0.00116
40, 46, 0.00022, 0.00060, 0.00074, 0.00068, 0.00006, -0.00043
46, 52, 0.00098, 0.00120, 0.00005, 0.00102, 0.00071, -0.00070
52, 58, 0.00066, 0.00161, -0.00050, 0.00070, 0.00007, -0.00088
58, 64, 0.00072, 0.00052, 0.00163, 0.00134, 0.00094, 0.00021
64, 7000, 0.00045, 0.00128, 0.00154, 0.00140, 0.00203, 0.00035

